,input_category,output_category,cleaned
231,Electrical|Power Management - Circuit Protection and Distribution|Disconnect Switch Accessories,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut disconnect switch accessori
232,Electrical|Power Management - Circuit Protection and Distribution|Disconnect Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut disconnect switch
233,Electrical|Power Management - Circuit Protection and Distribution|Door Mount Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut door mount switch
234,Electrical|Power Management - Circuit Protection and Distribution|Flange Mount Safety Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut flang mount safeti switch
235,Electrical|Power Management - Circuit Protection and Distribution|Hazardous Location Safety and Disconnect Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut hazard locat safeti disconnect switch
236,Electrical|Power Management - Circuit Protection and Distribution|Panel Disconnect Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut panel disconnect switch
237,Electrical|Power Management - Circuit Protection and Distribution|Safety Switch Accessories,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut safeti switch accessori
238,Electrical|Power Management - Circuit Protection and Distribution|Safety Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut safeti switch
239,Electrical|Power Management - Circuit Protection and Distribution|Solar Safety Switches,"Safety Switches, Panel and Door Disconnects",electr power manag circuit protect distribut solar safeti switch
240,Power Transmission|Chain Coupling Components,"Shaft Couplings, Collars, and Universal Joints",power transmiss chain coupl compon
241,Power Transmission (Mechanical)|Drive Couplings|Double Loop Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss mechan drive coupl doubl loop coupl
242,Power Transmission|Flexible Rubber Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss flexibl rubber coupl
243,Power Transmission (Mechanical)|Drive Couplings|Servo Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss mechan drive coupl servo coupl
244,Power Transmission|Keyed Shafts,"Shaft Couplings, Collars, and Universal Joints",power transmiss key shaft
245,Power Transmission|Motion Control Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss motion control coupl
246,Power Transmission|Rigid Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss rigid coupl
247,Power Transmission|Shaft Adapters,"Shaft Couplings, Collars, and Universal Joints",power transmiss shaft adapt
248,Power Transmission|Shaft Collars,"Shaft Couplings, Collars, and Universal Joints",power transmiss shaft collar
249,Power Transmission|Spline Shafts and Couplings,"Shaft Couplings, Collars, and Universal Joints",power transmiss spline shaft coupl
250,Material Handling|Packaging and Shipping|Bin Liners,Shipping Supplies,materi handl packag ship bin liner
251,Material Handling|Packaging and Shipping|Dunnage Bags,Shipping Supplies,materi handl packag ship dunnag bag
252,Material Handling|Packaging and Shipping|Moisture Absorbents and Indicators,Shipping Supplies,materi handl packag ship moistur absorb indic
253,Material Handling|Packaging and Shipping|Moving Blankets and Pads,Shipping Supplies,materi handl packag ship move blanket pad
254,Material Handling|Packaging and Shipping|Packaging and Shipping Accessories,Shipping Supplies,materi handl packag ship packag ship accessori
255,Material Handling|Packaging and Shipping|Packing Table Accessories,Shipping Supplies,materi handl packag ship pack tabl accessori
256,Material Handling|Packaging and Shipping|Packing Tables,Shipping Supplies,materi handl packag ship pack tabl
257,Material Handling|Packaging and Shipping|Pallet Covers,Shipping Supplies,materi handl packag ship pallet cover
258,Material Handling|Packaging and Shipping|Pallet Cushions,Shipping Supplies,materi handl packag ship pallet cushion
259,Material Handling|Packaging and Shipping|Shipping Cold Packs,Shipping Supplies,materi handl packag ship ship cold pack
260,Security|Two Way Radios and Police Scanners|Two Way Radio Accessories,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio accessori
261,Security|Two Way Radios and Police Scanners|Two Way Radio Battery Packs,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio batteri pack
262,Security|Two Way Radios and Police Scanners|Two Way Radio Carrying Cases and Belt Clips,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio carri case belt clip
263,Security|Two Way Radios and Police Scanners|Two Way Radio Chargers and Charging Kits,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio charger charg kit
264,Security|Two Way Radios and Police Scanners|Two Way Radio Earbuds and Earpieces,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio earbud earpiec
265,Security|Two Way Radios and Police Scanners|Two Way Radio Headsets,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio headset
266,Security|Two Way Radios and Police Scanners|Two Way Radio Microphones,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio microphon
267,Security|Two Way Radios and Police Scanners|Two Way Radio Surveillance Kits,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio surveil kit
268,Security|Two Way Radios and Police Scanners|Two Way Radio Wire Sets,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way radio wire set
269,Security|Two Way Radios and Police Scanners|Two Way WLAN or IP Radio Accessories,"Two Way Radio Accessories, Kits and Sets",secur two way radio polic scanner two way wlan ip radio accessori
270,Electrical|Voice and Data|Ethernet Switches,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data ethernet switch
271,Electrical|Voice and Data|Fiber Optic Adapters,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data fiber optic adapt
272,Electrical|Voice and Data|Voice and Data Connectors,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data connector
273,Electrical|Voice and Data|Voice and Data Housings,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data hous
274,Electrical|Voice and Data|Voice and Data Jack Accessories,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data jack accessori
275,Electrical|Voice and Data|Voice and Data Jack Boxes,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data jack box
276,Electrical|Voice and Data|Voice and Data Jacks,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data jack
277,"Electrical|Voice and Data|Voice and Data Outlets, Boxes, Faceplates","Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data outlet box facepl
278,Electrical|Voice and Data|Voice and Data Wiring Block Accessories,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data wire block accessori
279,Electrical|Voice and Data|Voice and Data Wiring Blocks,"Voice and Data Plates, Housings, Jacks, and Accessories",electr voic data voic data wire block
280,Janitorial & Facility|Trash Bags & Liners|Hazardous Waste Bags,Waste Bags & Accessories,janitori facil trash bag liner hazard wast bag
281,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Compostable Trash Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli compost trash bag
282,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Hazardous Waste Bags & Transport Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli hazard wast bag transport bag
283,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Paper Trash Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli paper trash bag
284,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Pest- & Rodent-Repellent Trash Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli pest rodent repel trash bag
285,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Recycled Plastic Trash Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli recycl plastic trash bag
286,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Reusable Trash & Litter Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli reusabl trash litter bag
287,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Sanitary Napkin Liners & Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli sanitari napkin liner bag
288,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Trash & Waste Disposal Accessories",Waste Bags & Accessories,clean janitori wast recycl trash suppli trash wast dispos accessori
289,"Cleaning and Janitorial|Waste, Recycling & Trash Supplies|Trash Bags",Waste Bags & Accessories,clean janitori wast recycl trash suppli trash bag
