input_category,output_category
"Pumps|Rotary Gear Pump Heads","Rotary Pumps"
"Pumps|Rotary Gear Pumps","Rotary Pumps"
"Pumps|Rotary Vane Pump Heads","Rotary Pumps"
"Pumps|Rotary Vane Pumps","Rotary Pumps"
"Plumbing|Pipe, Tubing and Fittings|Expansion Joints","Rotary, Swivel and Expansion Joints"
"Plumbing|Pipe, Tubing and Fittings|Rotary Joint Cartridges","Rotary, Swivel and Expansion Joints"
"Plumbing|Pipe, Tubing and Fittings|Rotary Joint Elbows","Rotary, Swivel and Expansion Joints"
"Plumbing|Pipe, Tubing and Fittings|Rotary Joints and Unions","Rotary, Swivel and Expansion Joints"
"Plumbing|Pipe, Tubing and Fittings|Swivel Joints","Rotary, Swivel and Expansion Joints"
"Abrasives|Abrasive Belts","Sanding Belts and Kits"
"Abrasives|Coated Abrasives|Coated Abrasive Belts","Sanding Belts and Kits"
"Abrasives|Diamond & Super Abrasives|Diamond & Super Abrasive Belts","Sanding Belts and Kits"
"Abrasives|Non-Woven Abrasives|Non-Woven Abrasive Belts","Sanding Belts and Kits"
"Abrasives|Sanding Belts and Kits","Sanding Belts and Kits"
"Security|Pepper Spray","Self Defense"
"Security|Pepper Spray Holsters and Accessories","Self Defense"
"Security|Personal Alarms","Self Defense"
"Security|Personal Safety Horns","Self Defense"
"Security|Stun Guns","Self Defense"
"Pumps|Centrifugal Pumps|Self Priming Sewage and Trash Pumps","Self-Priming Pumps"
"Pumps|Centrifugal Pumps|Self-Priming Centrifugal Pumps","Self-Priming Pumps"
"Pumps|Centrifugal Pumps|Self-Priming Pedestal Pumps","Self-Priming Pumps"
"Pumps|Centrifugal Pumps|Self-Priming Portable Utility Pumps","Self-Priming Pumps"
"Pumps|Centrifugal Pumps|Self-Priming Pressure Pumps","Self-Priming Pumps"
"Power Transmission|Gearbelt Idlers","Sheaves and Pulleys"
"Power Transmission|Idler Sheaves","Sheaves and Pulleys"
"Power Transmission|Precision Motion Control Pulleys","Sheaves and Pulleys"
"Power Transmission|Timing Belt Pulleys","Sheaves and Pulleys"
"Power Transmission|V-Belt Pulleys","Sheaves and Pulleys"
"Material Handling|Shelving and Storage Racks|Roll Out Shelving",Shelving
"Material Handling|Shelving and Storage Racks|Shelving Decking",Shelving
"Material Handling|Shelving and Storage Racks|Shelving Enclosures",Shelving
"Material Handling|Shelving and Storage Racks|Slotted Shelving Components",Shelving
"Material Handling|Shelving and Storage Racks|Wall Shelves",Shelving
"Tools|Cutting Tools|Cement Board Shears","Snips and Shears"
"Tools|Cutting Tools|Cordless Shears","Snips and Shears"
"Tools|Cutting Tools|Electric Shears","Snips and Shears"
"Tools|Cutting Tools|Manual Snips, Shears And Scissors","Snips and Shears"
"Tools|Cutting Tools|Metal Cutting Manual Snips and Sets","Snips and Shears"
"Fasteners|Shoulder Screws","Socket Screws and Set Screws"
"Fasteners|Socket Head Cap Screws","Socket Screws and Set Screws"
"Fasteners|Socket Screw Plugs","Socket Screws and Set Screws"
"Fasteners|Socket Set Screw Sets","Socket Screws and Set Screws"
"Fasteners|Socket Set Screws","Socket Screws and Set Screws"
"Electrical|Electrical Supplies|Ballast To Luminaire Disconnects","Specialty Connectors"
"Electrical|Electrical Supplies|Insulation Displacement Connectors","Specialty Connectors"
"Electrical|Electrical Supplies|Solar Connectors","Specialty Connectors"
"Electrical|Electrical Supplies|Splice Kits","Specialty Connectors"
"Electrical|Electrical Supplies|Street Light Disconnects","Specialty Connectors"
"Electrical|Industrial Controls, Automation and Machine Safety|Operator Interfaces and Pilot Lights|Biometric Switches","Specialty Operators"
"Electrical|Industrial Controls, Automation and Machine Safety|Operator Interfaces and Pilot Lights|Joystick Operators","Specialty Operators"
"Electrical|Industrial Controls, Automation and Machine Safety|Operator Interfaces and Pilot Lights|Potentiometers","Specialty Operators"
"Electrical|Industrial Controls, Automation and Machine Safety|Operator Interfaces and Pilot Lights|Wireless Push Button Accessories","Specialty Operators"
"Electrical|Industrial Controls, Automation and Machine Safety|Operator Interfaces and Pilot Lights|Wireless Push Buttons","Specialty Operators"
"Janitorial & Facility|Wet Mops  Squeegees & Buckets|Squeegee Frames  Blades & Refills","Squeegees and Accessories"
"Janitorial & Facility|Wet Mops  Squeegees & Buckets|Squeegees","Squeegees and Accessories"
"Cleaning and Janitorial|Cleaning Supplies|Squeegee Handles and Poles","Squeegees and Accessories"
"Cleaning and Janitorial|Cleaning Supplies|Squeegee Replacement Blades and Refills","Squeegees and Accessories"
"Cleaning and Janitorial|Cleaning Supplies|Squeegees","Squeegees and Accessories"
"Abrasives|Bonded Abrasives|Surface Grinding Wheels & Segments","Surface Grinding Wheels"
"Abrasives|Grinding Wheels","Surface Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Recessed Grinding Wheels","Surface Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Straight Grinding Wheels","Surface Grinding Wheels"
"Abrasives|Cut-Off and Grinding Wheels|Surface Grinding Segments","Surface Grinding Wheels"
"Welding|TIG Torches","TIG Welding And Accessories"
"Welding|TIG Welders","TIG Welding And Accessories"
"Welding|TIG Welding Accessories","TIG Welding And Accessories"
"Welding|TIG Welding Consumables","TIG Welding And Accessories"
"Welding|Tungsten Electrodes","TIG Welding And Accessories"
"Safety|First Aid Training, Instruction, Guides",Training
"Safety|Hands-On Training Systems",Training
"Safety|Lockout Tagout Training",Training
"Safety|Safety Training and Reference Materials",Training
"Safety|Training Videos",Training
"Fleet & Vehicle Maintenance|Truck Boxes & Vehicle Racks|Truck Storage Units","Truck Storage"
"Fleet and Vehicle Maintenance|Transfer Tanks","Truck Storage"
"Fleet and Vehicle Maintenance|Truck Box Accessories","Truck Storage"
"Fleet and Vehicle Maintenance|Truck Boxes","Truck Storage"
"Fleet and Vehicle Maintenance|Truck Storage Units","Truck Storage"
"Cleaning and Janitorial|Floor Cleaning Machines|Vacuum Cleaners and Accessories|Vacuum Cleaner Accessory Kits","Vacuum Cleaner Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Vacuum Cleaners and Accessories|Vacuum Cleaner Attachments","Vacuum Cleaner Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Vacuum Cleaners and Accessories|Vacuum Cleaner Bags and Filters","Vacuum Cleaner Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Vacuum Cleaners and Accessories|Vacuum Cleaner Belts","Vacuum Cleaner Accessories"
"Cleaning and Janitorial|Floor Cleaning Machines|Vacuum Cleaners and Accessories|Vacuum Cleaner Hoses","Vacuum Cleaner Accessories"
"Hardware|Wall Corner Guards","Wall and Hand Rail Hardware"
"Hardware|Wall Protection","Wall and Hand Rail Hardware"
"Hardware|Wall Protection Accessories","Wall and Hand Rail Hardware"
"Hardware|Wall and Hand Rail Accessories","Wall and Hand Rail Hardware"
"Hardware|Wall and Hand Rails","Wall and Hand Rail Hardware"
"Plumbing|Drinking Fountain Parts","Water Coolers, Dispensers and Fountains"
"Plumbing|Drinking Fountains","Water Coolers, Dispensers and Fountains"
"Plumbing|Hot Water Dispensers","Water Coolers, Dispensers and Fountains"
"Plumbing|Water Chillers","Water Coolers, Dispensers and Fountains"
"Plumbing|Water Dispensers","Water Coolers, Dispensers and Fountains"
"Lab Supplies|Storm Wastewater Samplers","Water Quality and Purification"
"Lab Supplies|Water Purification System Accessories","Water Quality and Purification"
"Lab Supplies|Water Purification System Consumables","Water Quality and Purification"
"Lab Supplies|Water Purification Systems","Water Quality and Purification"
"Lab Supplies|Water Samplers","Water Quality and Purification"
"Safety|Immersion Survival and Rescue Suits","Water Safety"
"Safety|Inflatable PFD Rearming Kits","Water Safety"
"Safety|Life Jackets and PFDs","Water Safety"
"Safety|PFD Signal Lights","Water Safety"
"Safety|Water Rescue Equipment","Water Safety"
"Hardware|Hardware Supplies|Window Insulation Kits","Window Hardware"
"Hardware|Door and Window Replacement Screen","Window Hardware"
"Hardware|Window Insulation Kits","Window Hardware"
"Hardware|Window Locks and Hardware","Window Hardware"
"Hardware|Window and Door Seals","Window Hardware"
